text,initial,medial,final,initial_phoneme,medial_phoneme,final_phoneme
apple,,pp,,,p,
balloon,b,ll,n,b,l,n
beach,b,,ch,b,,ʧ
bed,b,,d,b,,d
blue,b,l,,b,l,
boat,b,,t,b,,t
book,b,,k,b,,k
bus,b,,s,b,,s
cap,c ,,p,k,,p
car,c,,,k,,
cat,c,,t,k,,t
chair,ch,,,ʧ,,
chicken,ch,k,,ʧ,k,
cow,c,,,k,,
dog,d,,g,d,,g
doll,d,,ll,d,,l
dress,d,,ss,d,,s
duck,d,,k,d,,k
farm,f,,m,f,,m
feather,f,th,,f,ð,
fish,f,,sh,f,,ʃ
flowers,f,w,,f,w,
fox,f,,x,f,,x
fridge,f,,dge,f,,ʤ
frog,f,,g,f,,g
giraffe,g,,ffe,ʤ,,f
goat,g,,t,g,,t
grass,g,,ss,g,,s
green,g,,n,g,,n
guitar,g,t ,,g,t,
hammer,h,mm,,h,m ,
happy,h,pp,,h,p,
hat,h,,t,h,,t
hen,h,,n,h,,n
house,h,,s,h,,s
jelly,j,ll,,ʤ,l,
jet,j,,t,ʤ,,t
ladder,l,dd,,l,d,
lion,l,,n,l,,n
man,m,,n,m,,n
map,m,,p,m,,p
milk,m,,k,m,,k
mop,m,,p,m,,p
moth,m,,th,m,,θ
mummy,m,mm,,m,m ,
nest,n,,t,n,,t
nose,n,,,n,,
nut,n,,t,n,,t
orange,,,ge,,,ʤ
pan,p,,n,p,,n
peas,p,,,p,,
piano,p,n,,p,n,
pig,p,,g,p,,g
pyjamas,p,j,,p,ʤ,
rabbit,r,bb,,r,b,
red,r,,d,r,,d
sheep,sh,,p,ʃ,,p
shell,sh,,l,ʃ,,l
sing,s ,n,ing,s ,n,ɪŋ
slide,s, ,d,s,,d
snail,s,,l,s,,l
sock,s,,ck,s,,k
sun,s,,n,s,,n
this,th,,,ð,,
thumb,th,,m,θ,,m
tie,t,,,t,,
tiger,t,g,,t,g,
van,v,,n,v,,n
vase,v,,,v,,
very,v,,,v,,
watch,w,,ch,w,,ʧ
web,w,,b,w,,b
whale,w,,,w,,
wing,w,,ing,w,,ɪŋ
yellow,y,ll,w,j,l,w
yes,y,,,j,,
yoghurt,y,g,,j,g,
zebra,z,b ,,z,b,
zip,z,,p,z,,p
